Identifier,Repeat no,Display Name,Device identifier,Instance,Submission Date,Submitter,Duration,Form version,4.1 What is the level of E. coli in the water? - Health Risk Category (Based on MPN and Confidence Interval),MPN(MPN/100ml),Upper 95% Confidence Interval,4.1 What is the level of E. coli in the water? --Image
t43f-dqf3-n1mv,1,Munyaka ap post tank,WB RM 20,145540004,10-09-2018 05:43:54 UTC,LaikipiaCounty1,00:00:05,4,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/e843914d-3393-459b-8103-80234d780042.jpg
x9xt-gvvk-1p5u,1,solio village 5,WB RM 20,114110001,12-09-2018 07:49:54 UTC,LaikipiaCounty1,00:00:06,4,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/b4c35383-9b2f-467f-8ae7-8241381cafd6.jpg
1v25-1ypx-uux9,1,solio village 6 borehole,WB RM 20,135880051,12-09-2018 07:52:41 UTC,LaikipiaCounty1,00:00:03,4,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/53f69bb0-1ee0-441a-b098-f27d21b93d7f.jpg
gyfe-0g23-5cb0,1,baraka primary,WB RM 20,124050096,12-09-2018 07:53:37 UTC,LaikipiaCounty1,00:00:05,4,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/831c09c3-fdcd-4dd7-b72c-e757b6f1b401.jpg
2hc7-0wu9-u0ux,1,solio village 4,WB RM 20,125940083,12-09-2018 07:54:09 UTC,LaikipiaCounty1,00:00:04,4,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/c9df0bc5-375f-4e17-9b22-fc3e24374b8f.jpg
gtvy-acjp-xaa6,1,solio village 7 borehole,WB RM 20,125940084,12-09-2018 07:54:47 UTC,LaikipiaCounty1,00:00:03,4,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/ec2f15bb-e042-493a-b399-549f642eaec8.jpg
kqxq-d00r-d0rt,1,DEB solio secondary,WB RM 20,135890002,12-09-2018 07:55:29 UTC,LaikipiaCounty1,00:00:03,4,High Risk / Possibly Unsafe,13.6,83.06,https://akvoflow-140.s3.amazonaws.com/images/ecc2e345-0aec-451d-9faf-5858365078bf.jpg
wxx8-fx9y-xfw3,1,solio village 3 borehole,WB RM 20,130070003,12-09-2018 07:56:08 UTC,LaikipiaCounty1,00:00:07,4,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/cc0b7693-1535-450f-a7b5-8600b7b64dc4.jpg
qg2g-xyrc-bevh,1,solio village 2,WB RM 20,125960002,12-09-2018 07:56:45 UTC,LaikipiaCounty1,00:00:08,4,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/5aa49134-d508-45e7-880e-e2cb7b597e0d.jpg
58r2-cs62-ekf8,1,solio village 1,WB RM 20,115990005,12-09-2018 07:57:40 UTC,LaikipiaCounty1,00:00:03,4,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/1520f7c6-f1c5-4791-890d-329f1de76da4.jpg
1qww-v7et-j8x7,1,Mukuri-umoja hand pump,WB RM 4,131810001,17-09-2018 06:44:24 UTC,Diana Gachoka,00:00:14,,Intermediate Risk / Probably Safe,1.5,7.81,https://akvoflow-140.s3.amazonaws.com/images/3cc0a774-2379-4f57-beb2-3a13e0867745.jpg
7g9f-n6pv-q85r,1,Nyariginyu secondary school,WB RM 4,142030001,17-09-2018 06:45:46 UTC,Diana Gachoka,00:00:05,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/15ee389a-bea3-4dc3-8fae-614760284968.jpg
gxgs-n9ev-53tu,1,Nkando Borehole,WB RM 4,135990001,17-09-2018 06:47:40 UTC,Diana Gachoka,00:00:05,,Intermediate Risk / Possibly Safe,4.7,22.75,https://akvoflow-140.s3.amazonaws.com/images/72835780-19de-4132-b65c-9a9d7500d968.jpg
18m0-dmwg-et47,1,Nkando dam,WB RM 4,124170001,17-09-2018 06:48:54 UTC,Diana Gachoka,00:00:06,,High Risk / Possibly Unsafe,13.6,83.06,https://akvoflow-140.s3.amazonaws.com/images/d91dce8c-41f4-4663-91f2-f63b488e0ceb.jpg
badt-7ae3-x5ga,1,Tigithi river,WB RM 4,114200002,17-09-2018 06:50:10 UTC,Diana Gachoka,00:00:06,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/7494190d-33d5-4c53-a431-fe02f0c8a12f.jpg
pnmg-1yju-gqsh,1,Burgret river,WB RM 4,121990003,17-09-2018 06:51:08 UTC,Diana Gachoka,00:00:04,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/927711f6-86ee-4696-8788-29f469deeeeb.jpg
f9ma-eqdj-rvum,1,Wathituga river,WB RM 4,135980002,17-09-2018 06:51:54 UTC,Diana Gachoka,00:00:03,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/42e46e45-9d9a-432c-b75b-fe7d00efbef5.jpg
16tr-4sg2-4q1x,1,Francis Maina Farm,WB RM 4,122000002,17-09-2018 06:54:15 UTC,Diana Gachoka,00:00:04,,Intermediate Risk / Probably Safe,1.5,7.81,https://akvoflow-140.s3.amazonaws.com/images/f435ee2e-4c23-422b-b608-266e12e4976b.jpg
wnmc-96v7-h9hy,1,Njoguini Hand pump,WB RM 4,133720004,17-09-2018 06:56:06 UTC,Diana Gachoka,00:00:46,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/abfbaf5b-f117-4568-87f3-8d96fdecf3ad.jpg
y8r2-ue5m-dkf,1,Njoguini dam,WB RM 4,124170004,17-09-2018 06:57:19 UTC,Diana Gachoka,00:00:04,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/dce0ccac-11de-4ab7-aa03-98d6ddc5836f.jpg
bvn5-ann3-xw82,1,Olmoran Dam,WB RM 5,142180015,24-09-2018 05:06:33 UTC,Mary Nyambura,00:00:28,,Very High Risk / Unsafe,> 100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/725e8445-1a3e-4b82-80ad-97e6938881b3.jpg
d5hy-vw8g-0m0q,1,Mutaro,WB RM 5,147660005,24-09-2018 05:08:04 UTC,Mary Nyambura,00:00:05,,Very High Risk / Unsafe,> 100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/15287551-814e-4c8e-a572-01e5ea6a5012.jpg
8tr1-9ggr-g2hd,1,Mithuri Primary School,WB RM 5,142120021,24-09-2018 05:09:12 UTC,Mary Nyambura,00:00:10,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/a67e9228-787a-4540-8867-931bb4d991e0.jpg
8tr1-9ggr-g2hd,1,Mithuri Primary School,WB RM 5,126110006,24-09-2018 05:10:09 UTC,Mary Nyambura,00:00:27,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/80e7078f-290d-45e8-aa22-0aa0f5f0efff.jpg
3at8-w3fd-y168,1,Wangwachi dam,WB RM 5,122230002,24-09-2018 05:13:34 UTC,Mary Nyambura,00:00:09,,Very High Risk / Unsafe,> 100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/7a93d1f6-8f1c-4d63-9620-e6a86aadfd41.jpg
e1me-g4mp-sdev,1,Kaichakun River,WB RM 5,120000001,24-09-2018 05:15:05 UTC,Mary Nyambura,00:00:04,,Very High Risk / Unsafe,> 100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/f951c433-abdb-4ede-b4e5-a0cd5f4dfa4a.jpg
81pd-bq7b-8ff4,1,Barariru dam,WB RM 5,116170001,24-09-2018 05:16:12 UTC,Mary Nyambura,00:00:04,,High Risk / Possibly Unsafe,13.6,83.06,https://akvoflow-140.s3.amazonaws.com/images/e8a26e24-a2d2-4118-bdb0-00dcbb970bd3.jpg
g4pq-qhhh-237t,1,Njorua Dam,WB RM 5,143620003,24-09-2018 05:17:18 UTC,Mary Nyambura,00:00:04,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/4b3e0cba-c207-4edf-9c9c-e0edf4d9c65b.jpg
8xsv-a8x7-ma6c,1,Kinamba police station,WB RM 5,134020002,24-09-2018 05:19:07 UTC,Mary Nyambura,00:00:03,,Intermediate Risk / Possibly Safe,4.7,22.75,https://akvoflow-140.s3.amazonaws.com/images/ae66d419-bc2b-45e8-b1f5-ab00063da2ff.jpg
twtw-fjqm-n0wc,1,Ngare Narok,WB RM 15,128160006,24-09-2018 05:19:59 UTC,M. Ngotho Muiruri,00:00:26,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/5109e813-337b-48dc-8994-caab645250ad.jpg
8uun-jaks-x792,1,Ngarachi Dam,WB RM 5,149280001,24-09-2018 05:20:18 UTC,Mary Nyambura,00:00:33,,Very High Risk / Unsafe,> 100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/5de81653-3521-425a-8529-2c6586f60622.jpg
rtfp-1grx-gea9,1,Marura dam,WB RM 15,112000001,24-09-2018 05:20:43 UTC,M. Ngotho Muiruri,00:00:17,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/aecc3c7c-954f-484d-aea1-40f80fdb115e.jpg
rggg-65mc-rxmp,1,Njorua high school,WB RM 5,126170048,24-09-2018 05:20:57 UTC,Mary Nyambura,00:00:06,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/fb113a0f-cd12-4ade-b7c9-b129fe4dd1a3.jpg
juuh-7pd4-f6d,1,pesi stream,WB RM 15,119950001,26-09-2018 07:37:40 UTC,M. Ngotho Muiruri,00:00:10,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/eeb33ec5-0029-476d-9ca3-70a411de2ad3.jpg
7v3q-q8s5-6m2v,1,Suguroi river,WB RM 15,124300002,26-09-2018 07:40:24 UTC,M. Ngotho Muiruri,00:00:03,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/b53c27c8-dddf-4033-bbb4-d169ff390f84.jpg
r1qt-dpuw-3md3,1,Mutara-Kiamariga borehole,WB RM 15,117900001,26-09-2018 07:51:45 UTC,M. Ngotho Muiruri,00:00:06,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/0c24e86a-19bc-4421-8226-570f9c203c6b.jpg
p5gd-ebg3-st1q,1,Ol Morn borehole 2,WB RM 15,149230002,26-09-2018 09:39:45 UTC,M. Ngotho Muiruri,00:00:04,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/d5f39d44-8cd6-4cde-9946-99e139757d64.jpg
1jj4-5hpe-v21a,1,Keni dam,WB RM 15,143550002,26-09-2018 09:40:28 UTC,M. Ngotho Muiruri,00:00:03,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/62930581-a24b-4d5b-b7e4-1e0c967503d7.jpg
qtmf-85vs-qdh0,1,Bubungi water kiosk,WB RM 15,143570002,26-09-2018 09:41:08 UTC,M. Ngotho Muiruri,00:00:03,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/e727683b-68f8-4877-94f5-d409c01b1cca.jpg
hpd5-5jdp-4evc,1,Bauni dam,WB RM 15,119980001,26-09-2018 09:41:52 UTC,M. Ngotho Muiruri,00:00:03,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/3fe12145-d89a-4d8f-9f99-af29e2cbc311.jpg
wbru-4tee-f5h5,1,Gathima-ini spring,WB RM 15,119990002,26-09-2018 09:43:53 UTC,M. Ngotho Muiruri,00:00:04,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/e1ba9937-0179-4c39-bc79-9b8944353fd1.jpg
wdxy-43ae-d6hr,1,Gathima,WB RM 15,122200004,26-09-2018 09:45:00 UTC,M. Ngotho Muiruri,00:00:03,,High Risk / Possibly Unsafe,13.6,83.06,https://akvoflow-140.s3.amazonaws.com/images/640eeb86-4333-4760-8ee8-dadd8272deef.jpg
x0jk-axdm-pgyk,1,Kinamba dam,WB RM 15,143560002,26-09-2018 09:47:53 UTC,M. Ngotho Muiruri,00:00:05,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/d9521425-8531-413f-9d8d-7ac3c7b405e5.jpg
1hx8-msf2-h241,1,Jebi dam,WB RM 15,133970003,26-09-2018 09:48:34 UTC,M. Ngotho Muiruri,00:00:03,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/a775d8d9-f956-4dcf-9542-c5e5f29db08f.jpg
y53f-hw7p-5a0y,1,Uwaso Narok stream,WB RM 15,128200003,26-09-2018 09:49:30 UTC,M. Ngotho Muiruri,00:00:04,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/3f902ad0-73a2-456a-87b6-432e597331f2.jpg
350u-bdx7-v5t7,1,Muthengera dam,WB RM 15,119980005,26-09-2018 09:50:56 UTC,M. Ngotho Muiruri,00:00:02,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/58395900-462d-4903-af6d-08fa013a707b.jpg
pvqg-nkhy-5y8w,1,Ol'arabel stream,WB RM 15,124300005,26-09-2018 09:51:40 UTC,M. Ngotho Muiruri,00:00:04,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/cf43d46e-0f29-4b7a-aade-27bd82547d5d.jpg
uvye-t7y0-s3wv,1,Gatero Girls dam,WB RM 15,131930006,26-09-2018 09:53:19 UTC,M. Ngotho Muiruri,00:00:04,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/69dd507e-c9d1-4397-ac4a-962d6dfb4bc9.jpg
u1rd-rjxj-k1xj,1,Karandi 1 Mangw'ano,WB RM 15,147700005,26-09-2018 09:54:52 UTC,M. Ngotho Muiruri,00:00:03,,Very High Risk / Unsafe,>100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/65dc40c4-4c05-4a5f-a1b4-fea925ce2ee8.jpg
pnw2-975s-dgv5,1,Limunga dam,WB RM 15,119980007,26-09-2018 09:55:31 UTC,M. Ngotho Muiruri,00:00:03,,High Risk / Probably Unsafe,48.3,351.91,https://akvoflow-140.s3.amazonaws.com/images/6242e3d5-dee1-48fd-b87c-6f7a00b143ba.jpg
